category,subcategory,subsubcategory,subsubsubcategory,unique_id,url
quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,,cat_id_2879.cat,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat
plomberie,evacuation-des-eaux,trappe-de-visite,,cat_id_2381.cat,https://www.castorama.fr/plomberie/evacuation-des-eaux/trappe-de-visite/cat_id_2381.cat
electricite,lampe-torche-baladeuse-et-projecteur-de-chantier,projecteur-et-lampe-de-chantier,,cat_id_5306.cat,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/projecteur-et-lampe-de-chantier/cat_id_5306.cat
jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,jerrican-d-essence-graisse-et-lubrifiant,cat_id_2678.cat,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat
decoration-interieure,papier-peint-et-revetement-mural,moulure-de-plafond-corniche-et-rosace,,cat_id_5060.cat,https://www.castorama.fr/decoration-interieure/papier-peint-et-revetement-mural/moulure-de-plafond-corniche-et-rosace/cat_id_5060.cat
droguerie-entretien-de-la-maison,entretien-cuisine-et-salle-de-bains,entretien-de-la-salle-de-bains,,cat_id_2779.cat,https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/entretien-de-la-salle-de-bains/cat_id_2779.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,luminaire-solaire,,cat_id_1121.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/luminaire-solaire/cat_id_1121.cat
outillage,pistolet-a-peinture-decolleuse-et-decapeur,decolleuse-a-papier-peint,,cat_id_3231.cat,https://www.castorama.fr/outillage/pistolet-a-peinture-decolleuse-et-decapeur/decolleuse-a-papier-peint/cat_id_3231.cat
outillage,outillage-a-main,outil-de-levage,,cat_id_764.cat,https://www.castorama.fr/outillage/outillage-a-main/outil-de-levage/cat_id_764.cat
outillage,materiel-de-chantier,radio-de-chantier,,cat_id_0001521.cat,https://www.castorama.fr/outillage/materiel-de-chantier/radio-de-chantier/cat_id_0001521.cat
outillage,materiel-de-chantier,bache-poubelle-et-sac,,cat_id_721.cat,https://www.castorama.fr/outillage/materiel-de-chantier/bache-poubelle-et-sac/cat_id_721.cat
materiaux-et-gros-oeuvre,materiaux,produit-d-etancheite,absorbeur-d-humidite,cat_id_581.cat,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/absorbeur-d-humidite/cat_id_581.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-vestris,cat_id_5170.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-vestris/cat_id_5170.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-kosti,cat_id_5171.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-kosti/cat_id_5171.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-pahea,cat_id_5168.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-pahea/cat_id_5168.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-tiga,cat_id_5167.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-tiga/cat_id_5167.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-taowa,cat_id_5166.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-taowa/cat_id_5166.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-hiva,cat_id_5165.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-hiva/cat_id_5165.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-klama,cat_id_5169.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-klama/cat_id_5169.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-et-coussins-novan,cat_id_5164.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-et-coussins-novan/cat_id_5164.cat
decoration-interieure,decoration-textile,nos-collections-textile,rideaux-dellys,cat_id_5172.cat,https://www.castorama.fr/decoration-interieure/decoration-textile/nos-collections-textile/rideaux-dellys/cat_id_5172.cat
outillage,pistolet-a-peinture-decolleuse-et-decapeur,pistolet-a-peinture-electrique-et-machine-a-peindre,,cat_id_1635.cat,https://www.castorama.fr/outillage/pistolet-a-peinture-decolleuse-et-decapeur/pistolet-a-peinture-electrique-et-machine-a-peindre/cat_id_1635.cat
outillage,materiel-de-chantier,betonniere,,cat_id_1660.cat,https://www.castorama.fr/outillage/materiel-de-chantier/betonniere/cat_id_1660.cat
droguerie-entretien-de-la-maison,produits-d-entretien-specifique,entretien-du-textile,,cat_id_2766.cat,https://www.castorama.fr/droguerie-entretien-de-la-maison/produits-d-entretien-specifique/entretien-du-textile/cat_id_2766.cat
jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,balai-d-exterieur-balai-a-feuille-et-a-gazon,,cat_id_3417.cat,https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/balai-d-exterieur-balai-a-feuille-et-a-gazon/cat_id_3417.cat
